"iso2","year","sector","un","ets","country","ratio"
"BE",2015,"Minerals",7874782.02,7379326,"Belgium",0.937083208304476
"BE",2015,"Chemicals",10195920.4,8884031,"Belgium",0.871331929974659
"BE",2015,"Paper",614412.49,779939,"Belgium",1.26940616067229
"BE",2015,"Residual",55101507.47,0,"Belgium",0
"BE",2015,"Transport",25740893.8,NA,"Belgium",NA
"BE",2015,"Total",100229489.8,44713915,"Belgium",0.446115360750844
"BE",2016,"Energy",19792162.61,21111098,"Belgium",1.06663927616144
"BE",2016,"Metals",5931638.4,5928633,"Belgium",0.999493327172472
"BE",2016,"Minerals",7845925.57,7324305,"Belgium",0.933517012703448
"BE",2016,"Chemicals",9998676.38,8515531,"Belgium",0.851665828192351
"BE",2016,"Paper",608505.77,776161,"Belgium",1.27551954026664
"BE",2016,"Residual",56066800.49,0,"Belgium",0
